Trait	Category	Subcategory
Disc degeneration lumbar	Aging	Aging
Age-related cataracts age at onset	Aging	
Age-related cataracts	Aging	
Age-related macular degeneration CNV	Aging	
Age-related macular degeneration CNV vs. GA	Aging	
Age-related macular degeneration extreme sampling	Aging	
Age-related macular degeneration GA	Aging	
Age-related macular degeneration smoking status interaction	Aging	
Age-related macular degeneration	Aging	
Age-related macular degeneration wet	Aging	
Age-related nuclear cataracts	Aging	
Aging facial	Aging	
Aging time to death	Aging	
Aging time to event	Aging	
Longevity 85 years and older	Aging	
Longevity 90 years and older	Aging	
Longevity	Aging	
Retinol levels	Aging	
Telomere length	Aging	
Addiction	Brain health and disorders	
Alzheimers disease APOE e4 interaction	Brain health and disorders	
Alzheimers disease biomarkers	Brain health and disorders	
Alzheimers disease in APOE e4- carriers	Brain health and disorders	
Alzheimers disease in APOE e4+ carriers	Brain health and disorders	
Alzheimers disease late onset	Brain health and disorders	
Alzheimers disease	Brain health and disorders	
Amyotrophic lateral sclerosis age of onset	Brain health and disorders	
Amyotrophic lateral sclerosis sporadic	Brain health and disorders	
Amyotrophic lateral sclerosis	Brain health and disorders	
Anorexia nervosa	Brain health and disorders	
Anxiety and major depressive disorder	Brain health and disorders	
Anxiety disorder	Brain health and disorders	
Anxiety in major depressive disorder	Brain health and disorders	
Attention deficit hyperactivity disorder and conduct disorder	Brain health and disorders	
Attention deficit hyperactivity disorder combined symptoms	Brain health and disorders	
Attention deficit hyperactivity disorder hyperactivity-impulsivity symptoms	Brain health and disorders	
Attention deficit hyperactivity disorder inattention symptoms	Brain health and disorders	
Attention deficit hyperactivity disorder symptoms interaction	Brain health and disorders	
Attention deficit hyperactivity disorder time to onset	Brain health and disorders	
Attention deficit hyperactivity disorder	Brain health and disorders	
Attention function in attention deficit hyperactive disorder	Brain health and disorders	
Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia combined	Brain health and disorders	
Autism spectrum disorder	Brain health and disorders	
Autism	Brain health and disorders	
Behavioural disinhibition generation interaction	Brain health and disorders	
Bipolar disorder and schizophrenia	Brain health and disorders	
Bipolar disorder mania	Brain health and disorders	
Bipolar disorder	Brain health and disorders	
Bipolar disorder with mood-incongruent psychosis	Brain health and disorders	
Bipolar I disorder	Brain health and disorders	
Brain connectivity	Brain health and disorders	
