Population Code,Population Description,Super Population Code,Sequence Data Available,Alignment Data Available,Variant Data Available,FullSup
CHB,"Han Chinese in Bejing, China",EAS, 1, 1, 1,East Asian
JPT,"Japanese in Tokyo, Japan",EAS, 1, 1, 1,East Asian
CHS,Southern Han Chinese,EAS, 1, 1, 1,East Asian
CDX,"Chinese Dai in Xishuangbanna, China",EAS, 1, 1, 1,East Asian
KHV,"Kinh in Ho Chi Minh City, Vietnam",EAS, 1, 1, 1 ,East Asian
CEU,Utah Residents (CEPH) with Northern and Western European Ancestry,EUR, 1, 1, 1,European
TSI,Toscani in Italia,EUR, 1, 1, 1,European
FIN,Finnish in Finland,EUR, 1, 1, 1,European
GBR,British in England and Scotland,EUR, 1, 1, 1,European
IBS,Iberian Population in Spain,EUR, 1, 1, 1,European
YRI,"Yoruba in Ibadan, Nigeria",AFR, 1, 1, 1,African
LWK,"Luhya in Webuye, Kenya",AFR, 1, 1, 1,African
GWD,Gambian in Western Divisions in the Gambia,AFR, 1, 1, 1 ,African
MSL,Mende in Sierra Leone,AFR, 1, 1, 1 ,African
ESN,Esan in Nigeria,AFR, 1, 1, 1 ,African
ASW,Americans of African Ancestry in SW USA,AFR, 1, 1, 1,African
ACB,African Caribbeans in Barbados,AFR, 1, 1, 1 ,African
MXL,Mexican Ancestry from Los Angeles USA,AMR, 1, 1, 1,Admixed American
PUR,Puerto Ricans from Puerto Rico,AMR, 1, 1, 1,Admixed American
CLM,"Colombians from Medellin, Colombia",AMR, 1, 1, 1,Admixed American
PEL,"Peruvians from Lima, Peru",AMR, 1, 1, 1 ,Admixed American
GIH,"Gujarati Indian from Houston, Texas",SAS, 1, 1, 1 ,Southeast Asian
PJL,"Punjabi from Lahore, Pakistan",SAS, 1, 1, 1 ,Southeast Asian
BEB,Bengali from Bangladesh,SAS, 1, 1, 1 ,Southeast Asian
STU,Sri Lankan Tamil from the UK,SAS, 1, 1, 1 ,Southeast Asian
ITU,Indian Telugu from the UK,SAS, 1, 1, 1 ,Southeast Asian
